Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
16.0,Lycée des Lumières,Seconde,Commune de Koungou,60,,60,0.0,5.0,0.0,0,0,collège kaweni 1,0,BTS ,0,Shimaoré,1,0,Aucune ,
15.0,Lycée des Lumières,1st2s,Commune de Koungou,0,,180,300.0,7.0,1.0,0,0,Collègue Frédéric D'achery,0,,,Shimaoré,0,1,Calculs,
19.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0,,120,120.0,1.0,1.0,0,0,,1,Travailler,0,Français,0,1,Aucune ,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0,,0,120.0,1.58,0.0,0,0,Collège de kaweni 1,0,Université,1,Shimaoré,1,1,,
17.0,Lycée des Lumières,Terminale STMG,Commune de Bandraboua,360,,420,120.0,5.0,0.0,0,0,Au collège K2,0,BTS,0,Shimaoré,1,, ,
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0,,120,600.0,2.0,0.0,0,1,Au collège de K1,0,BTS,0,Shimaoré,1,0,Aucune,
17.0,Lycée des Lumières,Seconde,Commune de Koungou,60,,60,60.0,5.0,1.0,0,0,Au collège de Koungou ,1,,0,Shimaoré,0,,Aucune ,
17.0,Lycée des Lumières,1 std2a,Commune de Koungou,60,,0,0.0,3.0,1.0,0,1,Oui  ,1,Ecole spécialisée,1,Creole,1,1,Aucune ,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,60,,60,120.0,4.0,1.0,0,0,Au collège de Koungou,0,,1,Shimaoré,1,1,Aucune,
16.0,Lycée des Lumières,Première STMG,Commune de Mamoudzou,300,,0,120.0,9.0,0.0,0,0,Collège kaweni 2,0,Université,0,Shimaoré,1,1,Chiffres ,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,300,,60,240.0,2.0,1.0,0,0,Collège kaweni 2,0,,0,Malgache,0,1,Aucune ,
18.0,Lycée des Lumières,Terminale,Commune de Koungou,3,,0,120.0,3.0,1.0,0,0, ,1,BTS,0,Shimaoré,1,1,Aucune ,
19.0,Lycée de Mamoudzou Nord,T OTM,Commune de Koungou,60,,0,30.0,7.0,0.0,0,1,,1,Université ,1,Shimaoré,1,1,Suites numériques ,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,0,,180,360.0,6.0,0.0,0,0,Collège kaweni 1,0,Université,0,Swahili,0,0,Equations,
20.0,Lycée des Lumières,Terminale,Commune de Koungou,60,,60,120.0,2.0,1.0,0,0,collèges Frédéric d'achery koungou ,1,Université,0,Shimaoré,0,1,Aucune ,
17.0,Lycée des Lumières,Première,Commune de Koungou,120,,30,240.0,3.0,0.0,0,1,,1,Ecole spécialisée,0,Shimaoré,0,1,Formules,
17.0,Lycée des Lumières,Terminale,Commune de Koungou,120,,240,480.0,4.0,1.0,0,0,Collège Koungou,1,Ecole spécialisée,,Shindzouani,0,1,Démonstrations,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,60,,120,60.0,5.0,1.0,0,1,,1,,0,Shimaoré,1,1,Multiplications,
18.0,Lycée des Lumières,Terminale,Commune de Tsingoni,0,,0,0.0,4.0,0.0,0,1,Collège de Koungou,0,Université ,1,Shindzouani,0,0,Aucune ,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,180,,300,60.0,9.5,1.0,0,1,Collège de majicavo ( mayotte ) ,1, ,0,Malgache,1,1,Méthode,
17.0,Lycée des Lumières,1 agora,Commune de Mamoudzou,120,,0,0.0,5.0,0.0,0,0,,1,BTS,1,Shimaoré,1,0,Suites numériques ,
18.0,Lycée des Lumières,Terminale,Commune de Koungou,0,,120,,5.0,0.0,0,0,collège de koungou ,0,Université,0,Shimaoré,1,1,,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,5,,5,0.0,6.0,0.0,0,0,,1,,0,Shimaoré,0,0,Equations,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,60,,30,120.0,6.0,0.0,0,0,collège Kaweni 1,0,,0,malgache et comorien,0,,Probabilités ,
17.0,Lycée des Lumières,Première STMG,Commune de Koungou,120,,180,120.0,10.0,0.0,1,1,,1,Université ,0,Shimaoré,1,0,Arithmétiques ,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,180,,240,60.0,8.0,1.0,0,0,collège de Majicavo Lamir,1,Réflexion,0,Français,0,1,Equations,
16.0,Lycée des Lumières,Première,Commune de Koungou,60,,120,60.0,,1.0,0,1, collège de Majicavo,0,Ecole spécialisée ,0,Français,1,1,Trigonométrie,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,360,,120,240.0,7.0,1.0,1,1,au collège kaweni 2,1,Université ,0,"malgache , l'anjouanais, maore et  creo",1,1,Arithmétique-Algèbre,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,60,,60,0.0,5.0,0.0,0,0,college majicavo lamir,0,Université,0,Shimaoré,1,0,,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,0,,30,0.0,6.0,1.0,0,1,Collège majicavo,0,Ecole spécialisée,1,russe,0,1,Aucune,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,180,,120,60.0,5.0,1.0,0,1,au collège kawéni 2,0,Université,0,Shimaoré,1,1,Chiffres,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,120,,300,180.0,5.0,0.0,0,1,Collège k1,0,,0,Shimaoré,1,1,Statistiques-Développement,
16.0,Lycée de Mamoudzou Nord,Terminale,Commune de Mamoudzou,0,,180,180.0,5.0,0.0,0,0,collège de kwalé,0,BTS,0,Shimaoré,0,0,Théorème de pythagore,
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,60,,180,120.0,5.0,0.0,0,0, ,1,,0,Shimaoré,0,0,Probabilités,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,120,,720,360.0,8.0,0.0,0,1,Au collège Kaweni1,1,Université,0,Shindzouani,0,1,Exponentielle,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,120,,120,180.0,9.0,1.0,0,1, ,,Ecole spécialisée ,0,Shimaoré,0,,Aucune,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,120,,240,60.0,5.0,1.0,0,1,Collège K2,,Université,0,Shimaoré,1,1,Equations,
18.0,Lycée des Lumières,Terminale STMG,Commune de Koungou,180,,540,240.0,6.0,1.0,0,0,,0,BTS,0,Shimaoré,1,0,Probabilités,
17.0,Lycée des Lumières,1mcv1,Commune de Pamandzi,240,,120,60.0,8.0,,0,0,collège de pamandzi,1,BTS,0,Shimaoré,0,0,,
17.0,Lycée des Lumières,Première STMG,Commune de Koungou,20,,60,,6.0,1.0,0,0, ,0,Université,0,Shimaoré,1,1,Suites ,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,0,,120,0.0,4.0,1.0,0,0,,0,Université ,0,Shimaoré,1,1,,
16.0,Lycée de Mamoudzou Nord,Première,Commune de Mamoudzou,60,,35,60.0,4.0,0.0,0,1,,0,Université,0,Shimaoré,1,0,Fonctions,
19.0,Lycée des Lumières,BTS,Commune de Dembeni,240,,120,180.0,4.0,0.0,0,1,,0,,1,Shimaoré,1,0,Calcul mental ,
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,300,,300,300.0,5.0,1.0,0,1, ,1,Université,0,Shimaoré,0,1,,
14.0,Lycée des Lumières,Seconde,Commune de Koungou,0,,0,0.0,4.0,1.0,0,0,,,Université,0,Shimaoré,1,0,Aucune,
17.0,Lycée des Lumières,Terminale STMG,Commune de Mamoudzou,60,,180,120.0,5.0,,0,0,Collège kaweni 1,1,Université,0,Shimaoré,1,1,Probabilités,
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,420,,0,0.0,5.0,1.0,0,0, ,0,Ecole spécialisée ,1,francais/ maore,1,1,Vecteurs,
14.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,60,,120,120.0,5.0,1.0,1,0,Collège kaweni 2,1,Université  ,0,malgache et  shimaore,1,1,Statistiques,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,240,,120,240.0,5.0,1.0,1,0,Collège kaweni 1,0,Réflexion,0,Shimaoré,1,1,,
17.0,Lycée des Lumières,Première,Commune de Mamoudzou,60,,30,180.0,5.5,1.0,0,0,Collège Kawéni 1,1,Université,0,shimaorais et kibushi,1,1,Multiples,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,120,,120,180.0,1.0,1.0,0,0,Collège kaweni 2,0,Réflexion,0,Shimaoré,0,0,Deux,
15.0,Lycée des Lumières,Seconde,majicavo / tsingoni,120,,180,120.0,10.0,1.0,0,1,Collège de majicavo ,0,,0,kibushi,1,0,Equations-Ensembles,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,30,,180,60.0,4.5,1.0,0,1,Collège K2 ( kawéni 2),1,Université,1,Shimaoré,1,1,Aucune ,
18.0,Lycée des Lumières,Terminale,Commune de Koungou,420,,1260,300.0,3.0,0.0,0,0,Collége majicavo lamir,0,Université,1,Shimaoré,1,0,Trigonométrie,
18.0,Lycée des Lumières,BTS,Commune de Mamoudzou,120,4,240,180.0,5.0,0.0,0,0,Collège Kaweni ,1,Ecole de Commerce,1,Shimaoré,1,1,Formules,
17.0,Lycée de Dembéni,Première,Commune de Pamandzi,60,7,60,240.0,7.0,0.0,0,0,,1,Université,0,Shimaoré,0,1,Toute,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,1,600,0.0,7.0,1.0,0,0,,1,Travailler,0,Shimaoré,1,0,calcul mental,
11.0,Collège de Ouangani,Sixième,Commune de Ouangani,60,,60,120.0,9.0,1.0,1,1,,1,Réflexion,1,Français,1,1,  Géométrie,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,60,10,60,120.0,10.0,0.0,0,0,,1,Réflexion,0,kibushi,1,1,Nombres relatifs,
14.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,5,120,60.0,8.0,1.0,1,0,,0,,0,Français,1,0,Additions,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,240,8,60,180.0,9.0,1.0,0,0,,0,,0,Shimaoré,1,0,,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,120,,60,120.0,10.0,1.0,0,0,,0,Ecole spécialisée,0,Français,0,1,,
