Age,Etablissement,Classe,Commune de  domicile,Temps_Maths(mn),Auto_eval_Maths,Temps_Sciences(mn),Temps_Francais(mn),Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet
16.0,Lycée des Lumières,Seconde,Commune de Koungou,60.0,,60.0,0.0,5.0,0.0,0.0,0.0,0.0,BTS ,0.0,Shimaoré,1.0,0.0
15.0,Lycée des Lumières,1st2s,Commune de Koungou,0.0,,180.0,300.0,7.0,1.0,0.0,0.0,0.0,,,Shimaoré,0.0,1.0
19.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0.0,,120.0,120.0,1.0,1.0,0.0,0.0,1.0,Travailler,0.0,Français,0.0,1.0
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0.0,,0.0,120.0,1.58,0.0,0.0,0.0,0.0,Université,1.0,Shimaoré,1.0,1.0
17.0,Lycée des Lumières,Terminale STMG,Commune de Bandraboua,360.0,,420.0,120.0,5.0,0.0,0.0,0.0,0.0,BTS,0.0,Shimaoré,1.0,
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0.0,,120.0,600.0,2.0,0.0,0.0,1.0,0.0,BTS,0.0,Shimaoré,1.0,0.0
17.0,Lycée des Lumières,Seconde,Commune de Koungou,60.0,,60.0,60.0,5.0,1.0,0.0,0.0,1.0,,0.0,Shimaoré,0.0,
17.0,Lycée des Lumières,1 std2a,Commune de Koungou,60.0,,0.0,0.0,3.0,1.0,0.0,1.0,1.0,Ecole spécialisée,1.0,Creole,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Koungou,60.0,,60.0,120.0,4.0,1.0,0.0,0.0,0.0,,1.0,Shimaoré,1.0,1.0
16.0,Lycée des Lumières,Première STMG,Commune de Mamoudzou,300.0,,0.0,120.0,9.0,0.0,0.0,0.0,0.0,Université,0.0,Shimaoré,1.0,1.0
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,300.0,,60.0,240.0,2.0,1.0,0.0,0.0,0.0,,0.0,Malgache,0.0,1.0
18.0,Lycée des Lumières,Terminale,Commune de Koungou,3.0,,0.0,120.0,3.0,1.0,0.0,0.0,1.0,BTS,0.0,Shimaoré,1.0,1.0
19.0,Lycée de Mamoudzou Nord,T OTM,Commune de Koungou,60.0,,0.0,30.0,7.0,0.0,0.0,1.0,1.0,Université ,1.0,Shimaoré,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,0.0,,180.0,360.0,6.0,0.0,0.0,0.0,0.0,Université,0.0,Swahili,0.0,0.0
20.0,Lycée des Lumières,Terminale,Commune de Koungou,60.0,,60.0,120.0,2.0,1.0,0.0,0.0,1.0,Université,0.0,Shimaoré,0.0,1.0
17.0,Lycée des Lumières,Première,Commune de Koungou,120.0,,30.0,240.0,3.0,0.0,0.0,1.0,1.0,Ecole spécialisée,0.0,Shimaoré,0.0,1.0
17.0,Lycée des Lumières,Terminale,Commune de Koungou,120.0,,240.0,480.0,4.0,1.0,0.0,0.0,1.0,Ecole spécialisée,,Shindzouani,0.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,60.0,,120.0,60.0,5.0,1.0,0.0,1.0,1.0,,0.0,Shimaoré,1.0,1.0
18.0,Lycée des Lumières,Terminale,Commune de Tsingoni,0.0,,0.0,0.0,4.0,0.0,0.0,1.0,0.0,Université ,1.0,Shindzouani,0.0,0.0
15.0,Lycée des Lumières,Seconde,Commune de Koungou,180.0,,300.0,60.0,9.5,1.0,0.0,1.0,1.0, ,0.0,Malgache,1.0,1.0
17.0,Lycée des Lumières,1 agora,Commune de Mamoudzou,120.0,,0.0,0.0,5.0,0.0,0.0,0.0,1.0,BTS,1.0,Shimaoré,1.0,0.0
18.0,Lycée des Lumières,Terminale,Commune de Koungou,0.0,,120.0,,5.0,0.0,0.0,0.0,0.0,Université,0.0,Shimaoré,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,5.0,,5.0,0.0,6.0,0.0,0.0,0.0,1.0,,0.0,Shimaoré,0.0,0.0
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,60.0,,30.0,120.0,6.0,0.0,0.0,0.0,0.0,,0.0,malgache et comorien,0.0,
17.0,Lycée des Lumières,Première STMG,Commune de Koungou,120.0,,180.0,120.0,10.0,0.0,1.0,1.0,1.0,Université ,0.0,Shimaoré,1.0,0.0
16.0,Lycée des Lumières,Seconde,Commune de Koungou,180.0,,240.0,60.0,8.0,1.0,0.0,0.0,1.0,Réflexion,0.0,Français,0.0,1.0
16.0,Lycée des Lumières,Première,Commune de Koungou,60.0,,120.0,60.0,,1.0,0.0,1.0,0.0,Ecole spécialisée ,0.0,Français,1.0,1.0
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,360.0,,120.0,240.0,7.0,1.0,1.0,1.0,1.0,Université ,0.0,"malgache , l'anjouanais, maore et  creo",1.0,1.0
